POP_TOT_2022,Max di 2021_1_Compr_media,CUM_2011_2021_TOT_TRS_IMM,TRS_IMM/TOT_POP*1000
3390,680,190,43,56,1740412979351
3274,680,154,08,47,0616982284667
3918,680,207,09,52,8560490045942
3774,680,85,31,22,6046634870164
3274,680,329,53,100,650580329872
5835,680,345,18,59,1568123393316
3740,685,342,43,91,5588235294118
3262,685,137,89,42,271612507664
6630,685,222,05,33,4917043740573
7502,685,389,53,51,9234870701146
8741,685,784,89,6922548907448
3605,685,156,57,43,4313453536754
9960,685,465,34,46,7208835341366
14947,685,703,52,47,0676389911019
10500,685,473,72,45,1161904761905
7726,685,586,51,75,913797566658
3926,685,380,28,96,8619460010188
8109,690,719,29,88,702676038969
14313,690,848,96,59,3139104310766
3461,690,135,87,39,2574400462294
3021,690,126,16,41,7610062893082
3225,690,117,3,36,3720930232558
6820,690,277,29,40,658357771261
3035,690,175,2,57,7265238879736
3323,690,142,42,732470659043
4123,695,319,4,77,4678632064031
3508,695,152,25,43,4007981755986
13425,695,767,68,57,1828677839851
3855,695,144,73,37,5434500648508
4129,695,147,99,35,8416081375636
3311,695,191,98,57,9824826336454
9903,695,541,08,54,6379884883369
3109,700,309,75,99,6301061434545
4045,700,302,95,74,8949320148331
14015,700,1243,26,88,709240099893
4054,700,323,66,79,8371978293044
4237,700,299,27,70,6325230115648
5198,700,455,21,87,5740669488265
4267,700,269,04,63,0513241153035
4531,700,219,63,48,4727433237696
3202,700,102,96,32,1549031855091
7812,700,393,43,50,3622631848438
12139,700,285,27,23,5002883268803
5732,700,280,66,48,963712491277
3016,700,303,44,100,610079575597
4733,700,166,28,35,1320515529263
3271,700,121,36,37,1018037297463
6648,700,392,21,58,9966907340554
15095,700,1072,72,71,0645909241471
3345,700,118,5,35,4260089686099
3231,700,188,04,58,1987000928505
3692,700,108,53,29,3959913326111
3842,700,178,66,46,5018219677251
3614,700,130,77,36,1842833425567
3101,705,102,6,33,0861012576588
11922,705,483,76,40,5770843818151
9932,705,489,15,49,2498993153444
4295,710,269,97,62,8568102444703
5272,710,395,16,74,9544764795144
6329,710,559,71,88,4357718438932
3271,710,356,6,109,018648731275
5178,710,346,54,66,9254538431827
3230,710,252,47,78,1640866873065
4534,710,380,34,83,8861932068813
5946,710,542,67,91,2663975782038
3759,710,257,25,68,4357541899441
3054,710,295,4,96,7256057629339
4069,710,326,67,80,2826247235193
5140,710,583,03,113,429961089494
5782,710,558,59,96,6084399861639
4824,710,400,82,9187396351575
6854,710,269,15,39,269039976656
3423,710,162,91,47,5927548933684
3608,710,188,03,52,1147450110865
13156,710,715,21,54,3637883855275
8796,710,274,66,31,2255570713961
6304,710,295,98,46,9511421319797
6180,710,424,01,68,6100323624595
5792,710,198,64,34,2955801104972
4661,715,204,31,43,8339412143317
3754,715,52,99,14,115610015983
6971,715,270,21,38,7620140582413
9628,715,525,47,54,5772746157042
6739,715,527,57,78,2860958599199
4388,715,331,53,75,5537830446673
7162,720,930,39,129,906450712092
4513,720,383,35,84,9434965654775
3415,720,149,23,43,6983894582723
4038,720,286,35,70,9138187221397
3650,720,146,05,40,013698630137
6796,720,351,45,51,7142436727487
5672,720,281,45,49,6209449929478
6163,720,439,67,71,3402563686516
6355,720,404,74,63,6884343036979
7636,725,708,9,92,8365636458879
7596,725,674,05,88,7374934175882
3817,725,358,06,93,8066544406602
6363,725,440,75,69,2676410498193
5551,725,454,53,81,8825436858224
3587,725,252,42,70,3707833844438
3410,725,272,76,79,9882697947214
4999,725,221,17,44,2428485697139
8423,725,185,34,22,004036566544
3069,725,126,3,41,1534701857283
6782,725,463,81,68,388381008552
4164,725,229,49,55,1128722382325
16106,725,851,33,52,8579411399479
4283,725,634,27,148,090123745039
4677,725,200,53,42,875775069489
12000,725,525,69,43,8075
18307,725,1075,62,58,7545747528268
9128,725,624,7,68,4377738825592
7453,725,357,73,47,9981215617872
8421,725,519,19,61,6541978387365
6619,725,351,96,53,1741954978093
4350,725,171,91,39,519540229885
3777,725,196,3,51,9724649192481
11134,725,565,19,50,7625291898689
4581,725,165,36,0183366077276
3440,725,119,94,34,8662790697674
4151,730,113,08,27,2416285232474
3701,730,135,69,36,6630640367468
11551,730,757,16,65,5493030906415
8075,735,748,46,92,6885448916409
5497,735,455,26,82,8197198471894
3558,735,222,85,62,6335019673974
4601,735,162,63,35,3466637687459
8963,735,334,5,37,320093718621
10743,735,741,36,69,0086567997766
3985,735,106,91,26,8281053952321
3261,740,231,13,70,8770315854032
3141,740,179,37,57,1060171919771
8219,740,469,32,57,1018372064728
5719,745,432,5,75,62510928484
3064,750,276,38,90,2023498694517
3777,750,261,03,69,1104050833995
6080,750,602,16,99,0394736842105
4562,750,400,01,87,6830337571241
4180,750,347,12,83,0430622009569
4751,750,319,65,67,2805725110503
3054,750,221,56,72,5474787164375
7271,750,607,48,83,5483427313987
7507,750,635,93,84,7116025043293
8744,750,932,18,106,607959743824
3007,750,244,47,81,3002993016295
8663,750,616,45,71,1589518642503
4096,750,335,96,82,021484375
5353,750,352,69,65,8864188305623
6716,750,432,04,64,329958308517
7760,750,524,63,67,6069587628866
10001,750,629,41,62,9347065293471
3451,750,210,25,60,9243697478992
3751,750,543,79,144,972007464676
6848,750,608,99,88,9296144859813
4436,750,352,76,79,522091974752
4160,750,197,51,47,4783653846154
4072,750,174,19,42,7775049115914
6975,750,332,22,47,6301075268817
4154,750,177,64,42,7636013480982
3020,750,149,56,49,523178807947
6409,750,389,52,60,7770322983305
7390,750,217,89,29,4844384303112
3357,750,97,16,28,942508191838
4515,750,175,88,38,9545957918051
5761,750,319,55,3723311925013
3206,750,185,94,57,9975046787274
7220,750,378,45,52,4168975069252
3563,750,261,93,73,5138927869773
16869,750,1187,47,70,3936214357697
15423,750,751,3,48,7129611619011
4165,750,586,74,140,873949579832
4788,750,279,56,58,3876357560568
4428,750,203,49,45,9552845528455
6387,750,487,18,76,2768122749335
3853,750,152,52,39,5847391642876
13317,750,524,29,39,3699782233236
4298,755,381,95,88,8669148441136
6846,755,442,57,64,6465089103126
14569,755,854,51,58,6526185736838
4080,755,282,96,69,3529411764706
3094,760,544,14,175,869424692954
3386,760,345,06,101,907855877141
7440,760,453,15,60,9072580645161
13660,760,644,72,47,1976573938507
5138,760,307,08,59,766446087972
4354,760,184,58,42,3932016536518
3513,760,191,14,54,4093367492172
3244,765,262,39,80,8847102342787
6942,765,200,59,28,8951310861423
8233,765,776,81,94,3532126806753
11453,765,665,36,58,0948223172968
4241,765,246,43,58,1065786371139
4730,770,440,78,93,1881606765328
5174,770,190,16,36,7529957479706
5303,770,294,08,55,4554026023006
4960,770,356,97,71,9697580645161
6743,770,458,14,67,9430520539819
3052,775,304,61,99,8066841415465
6273,775,593,03,94,5369041925713
6478,775,515,16,79,5245446125348
5320,775,330,57,62,1372180451128
5153,775,338,07,65,6064428488259
3053,775,294,07,96,321650835244
4000,775,274,76,68,69
3323,775,201,35,60,5928377971712
5100,775,363,7,71,3137254901961
3123,775,420,14,134,530899775857
8346,775,735,33,88,1056793673616
19906,775,2627,11,131,975786195117
6875,775,495,56,72,0814545454545
