POP_TOT_2022,A2021_1_Compr_media,CUM_2011_2021_TOT_TRS_IMM,TRS_IMM/TOT_POP*1000
4742,825,461,97
3762,825,312,83
3777,825,326,86
3747,825,198,53
8670,825,671,77
3053,825,199,65
3440,825,300,87
3275,825,198,61
3113,825,270,87
8240,825,702,85
5252,825,467,89
8402,825,610,73
4769,825,411,86
7645,825,598,78
4805,825,415,86
6074,825,419,69
4173,825,186,45
9373,825,489,52
6239,825,582,93
17160,825,1182,69
4643,825,236,51
5689,825,242,42
3488,825,212,61
6599,825,284,43
4218,830,426,101
5767,830,517,90
3633,830,294,81
8127,830,495,61
8642,830,624,72
5652,835,568,101
5115,835,501,98
4528,835,440,97
4420,835,333,75
3296,835,292,89
13001,835,783,60
3517,835,132,38
3116,835,219,70
3898,840,499,128
5168,840,566,110
3017,840,310,103
4129,840,265,64
5230,840,271,52
4262,840,319,75
4640,840,267,58
3653,840,226,62
3981,840,139,35
3928,840,171,44
4206,840,179,42
5702,840,612,107
4511,840,385,85
11035,840,726,66
7827,840,508,65
3025,840,109,36
10094,845,1222,121
4279,845,511,119
5036,845,345,69
5609,845,442,79
3839,845,351,91
6610,845,635,96
4226,845,712,169
8857,845,445,50
9614,845,285,30
11941,845,778,65
6236,850,832,133
4252,850,305,72
3554,850,308,87
9912,850,913,92
8343,850,750,90
3919,850,343,88
3740,850,414,111
5834,850,459,79
9268,850,703,76
3708,850,336,91
8172,850,527,64
3482,850,321,92
3232,850,460,142
3075,850,241,78
10456,850,659,63
6104,850,240,39
3675,850,276,75
6698,850,417,62
10308,850,441,43
16963,850,817,48
3822,850,164,43
16567,850,1285,78
11840,850,972,82
3616,850,190,52
5623,850,241,43
12513,850,845,68
9383,850,540,58
18997,850,1287,68
11888,850,750,63
3075,855,291,95
5623,855,494,88
4510,855,491,109
7530,855,339,45
3842,855,202,53
10844,855,451,42
5143,855,661,128
5556,855,351,63
3434,855,151,44
4122,860,135,33
7268,860,513,71
3218,865,244,76
3338,865,319,96
3762,865,286,76
13655,865,999,73
12802,865,978,76
3574,870,432,121
3018,870,193,64
5177,870,268,52
3063,870,127,42
10577,870,499,47
7388,875,828,112
5374,875,519,97
3319,875,338,102
3000,875,339,113
3318,875,280,84
4946,875,387,78
5679,875,609,107
4722,875,449,95
3760,875,257,68
5549,875,593,107
12548,875,1030,82
15660,875,1389,89
4191,875,365,87
5863,875,488,83
3261,875,258,79
6997,875,500,72
14978,875,1298,87
4572,875,611,134
8133,875,653,80
4299,875,453,105
7338,875,320,44
5112,875,204,40
11368,875,574,51
3075,875,251,82
8548,875,410,48
5224,875,184,35
4805,875,203,42
11448,875,616,54
6307,875,343,54
7476,875,739,99
7962,875,234,29
8097,875,244,30
4156,880,299,72
4808,880,581,121
7528,880,329,44
7912,880,669,85
4657,880,447,96
7579,880,746,98
4291,880,162,38
12920,880,958,74
10896,880,624,57
4176,880,339,81
3560,885,841,236
3878,885,317,82
3118,885,209,67
6238,885,633,101
3973,885,303,76
6052,885,512,85
3302,885,154,47
5274,885,387,73
3055,885,232,76
3704,885,192,52
7216,885,333,46
4308,890,397,92
5308,890,524,99
3480,890,378,109
3222,890,412,128
16358,890,1547,95
6097,890,486,80
3781,890,264,70
4417,895,322,73
7147,895,531,74
9208,895,545,59
3386,900,234,69
10873,900,1006,93
3108,900,290,93
5118,900,443,86
7205,900,573,80
5410,900,360,67
4737,900,407,86
6254,900,466,74
5860,900,690,118
4016,900,315,79
6146,900,574,93
5529,900,593,107
5662,900,647,114
14306,900,1388,97
3014,900,112,37
5067,900,257,51
3913,900,203,52
14695,900,950,65
6027,900,572,95
6791,900,351,52
11929,900,648,54
7596,900,700,92
11230,900,1030,92
4205,900,197,47
4371,905,434,99
3152,905,189,60
4291,905,375,87
3641,905,263,72
3482,905,250,72
3048,905,277,91
6449,905,1065,165
3630,910,155,43
4010,915,327,81
3744,915,213,57
4835,915,268,56
3330,915,158,47
4597,920,460,100
4553,920,464,102
4701,920,363,77
7096,920,485,68
7190,920,676,94
3907,920,235,60
3141,920,119,38
4004,920,283,71
3643,920,288,79
3255,920,139,43
4987,920,339,68
11602,920,703,61
12318,920,666,54
6536,920,270,41
12258,920,390,32
14827,920,895,60
4415,920,346,78
4064,925,462,114
9444,925,954,101
4345,925,389,90
4179,925,503,120
6098,925,691,113
11812,925,1268,107
16031,925,1376,86
16751,925,1727,103
8423,925,805,96
10202,925,1077,106
4796,925,377,79
3453,925,287,83
3694,925,248,67
4554,925,392,86
6064,925,579,95
11739,925,1147,98
13337,925,1081,81
6002,925,553,92
5363,925,585,109
8986,925,455,51
3980,925,208,52
4247,925,377,89
6447,925,463,72
